id_tenrac,nom,prenom,courriel,telephone,adresse_postale,id_grade,id_entretien
134,Navarro,Victor,victor.navarro134@amu.fr,0600000134,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0975, 43.9425, NULL), NULL, NULL)",5,67
135,Vidal,Pascale,pascale.vidal135@amu.fr,0600000135,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0769, 43.8027, NULL), NULL, NULL)",6,49
136,Girard,Stephanie,stephani.girard136@amu.fr,0600000136,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1537, 43.5748, NULL), NULL, NULL)",5,8
137,Boucher,Didier,didier.boucher137@amu.fr,0600000137,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1838, 43.5028, NULL), NULL, NULL)",2,67
138,Laverand,Maeva,maeva.laverand138@amu.fr,0600000138,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3611, 43.5671, NULL), NULL, NULL)",2,48
139,Nicolas,Simone,simone.nicolas139@amu.fr,0600000139,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6204, 43.3498, NULL), NULL, NULL)",1,64
140,Colin,Antoine,antoine.colin140@amu.fr,0600000140,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3979, 43.7137, NULL), NULL, NULL)",5,62
141,Marchand,Eric,eric.marchand141@amu.fr,0600000141,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7574, 43.6826, NULL), NULL, NULL)",5,32
142,Roy,Maxime,maxime.roy142@amu.fr,0600000142,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2301, 43.7705, NULL), NULL, NULL)",4,44
143,Lemaire,Charlotte,charlott.lemaire143@amu.fr,0600000143,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2644, 43.5116, NULL), NULL, NULL)",5,63
144,Fontaine,Benoit,benoit.fontaine144@amu.fr,0600000144,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6613, 43.342, NULL), NULL, NULL)",5,54
145,Rousseau,Camille,camille.rousseau145@amu.fr,0600000145,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1776, 43.9794, NULL), NULL, NULL)",4,33
146,Lefebvre,Marianne,marianne.lefebvre146@amu.fr,0600000146,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2627, 43.131, NULL), NULL, NULL)",2,69
147,Pelletier,Alain,alain.pelletie147@amu.fr,0600000147,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.31, 43.8738, NULL), NULL, NULL)",4,59
148,Roy,Renee,renee.roy148@amu.fr,0600000148,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0085, 43.3277, NULL), NULL, NULL)",3,25
149,Gauthier,Ines,ines.gauthier149@amu.fr,0600000149,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0239, 43.2853, NULL), NULL, NULL)",3,7
150,Lucas,Josiane,josiane.lucas150@amu.fr,0600000150,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.944, 43.8095, NULL), NULL, NULL)",5,3
151,Caron,Virginie,virginie.caron151@amu.fr,0600000151,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7628, 43.5387, NULL), NULL, NULL)",5,52
152,Nevot,Christiane,christia.nevot152@amu.fr,0600000152,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5399, 43.3044, NULL), NULL, NULL)",2,38
153,Mercier,Severine,severine.mercier153@amu.fr,0600000153,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3077, 43.9181, NULL), NULL, NULL)",3,4
154,Meyer,Laurence,laurence.meyer154@amu.fr,0600000154,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6205, 43.4793, NULL), NULL, NULL)",5,19
155,Nevot,Stephane,stephane.nevot155@amu.fr,0600000155,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0096, 43.4346, NULL), NULL, NULL)",3,4
156,Gosselin,Charles,charles.gosselin156@amu.fr,0600000156,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2449, 43.9973, NULL), NULL, NULL)",6,58
157,Gagnon,Clara,clara.gagnon157@amu.fr,0600000157,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.908, 43.9499, NULL), NULL, NULL)",5,62
158,Gosselin,Marcelle,marcelle.gosselin158@amu.fr,0600000158,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8078, 43.4219, NULL), NULL, NULL)",6,65
159,Cote,Virginie,virginie.cote159@amu.fr,0600000159,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.101, 43.0312, NULL), NULL, NULL)",3,68
160,Blanc,Lisa,lisa.blanc160@amu.fr,0600000160,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6937, 43.5969, NULL), NULL, NULL)",1,76
161,Nicolas,Charles,charles.nicolas161@amu.fr,0600000161,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5094, 43.501, NULL), NULL, NULL)",3,33
162,Lavoie,Rose,rose.lavoie162@amu.fr,0600000162,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3196, 43.7048, NULL), NULL, NULL)",3,60
163,Machiavel,Christine,christin.machiave163@amu.fr,0600000163,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4083, 43.4309, NULL), NULL, NULL)",6,60
164,Legrand,Leo,leo.legrand164@amu.fr,0600000164,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7346, 43.2574, NULL), NULL, NULL)",4,44
165,Guerin,Jean,jean.guerin165@amu.fr,0600000165,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2458, 43.0265, NULL), NULL, NULL)",1,43
166,White,Pierre,pierre.white166@amu.fr,0600000166,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3916, 43.031, NULL), NULL, NULL)",1,70
167,White,Christelle,christel.white167@amu.fr,0600000167,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7983, 43.5808, NULL), NULL, NULL)",1,28
168,Mercier,Mathias,mathias.mercier168@amu.fr,0600000168,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0479, 43.7671, NULL), NULL, NULL)",5,42
169,Machiavel,Philippe,philippe.machiave169@amu.fr,0600000169,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3239, 43.1152, NULL), NULL, NULL)",1,7
170,Renard,Guy,guy.renard170@amu.fr,0600000170,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8269, 43.4043, NULL), NULL, NULL)",2,12
171,Tremblay,Frederic,frederic.tremblay171@amu.fr,0600000171,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5415, 43.6247, NULL), NULL, NULL)",5,3
172,Simon,Genevieve,geneviev.simon172@amu.fr,0600000172,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1793, 43.7804, NULL), NULL, NULL)",1,50
173,Bouchard,Valerie,valerie.bouchard173@amu.fr,0600000173,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8754, 43.2481, NULL), NULL, NULL)",1,23
174,Richard,David,david.richard174@amu.fr,0600000174,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2004, 43.7875, NULL), NULL, NULL)",4,26
175,Simon,Arthur,arthur.simon175@amu.fr,0600000175,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.998, 43.5695, NULL), NULL, NULL)",4,2
176,Masson,Sandrine,sandrine.masson176@amu.fr,0600000176,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3103, 43.7896, NULL), NULL, NULL)",4,77
177,Lambert,Ambrine,ambrine.lambert177@amu.fr,0600000177,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9539, 43.2197, NULL), NULL, NULL)",2,71
178,Boucher,Laura,laura.boucher178@amu.fr,0600000178,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.869, 43.0611, NULL), NULL, NULL)",3,1
179,Mouse,Ambrine,ambrine.mouse179@amu.fr,0600000179,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9757, 43.8585, NULL), NULL, NULL)",6,42
180,Nicolas,Francoise,francois.nicolas180@amu.fr,0600000180,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6874, 43.7606, NULL), NULL, NULL)",4,71
181,Berger,Maxime,maxime.berger181@amu.fr,0600000181,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7027, 43.3462, NULL), NULL, NULL)",2,56
182,Renaud,Therese,therese.renaud182@amu.fr,0600000182,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3215, 43.5923, NULL), NULL, NULL)",3,31
183,Dumont,Mathias,mathias.dumont183@amu.fr,0600000183,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0542, 43.0819, NULL), NULL, NULL)",2,51
184,Leclerc,Francois,francois.leclerc184@amu.fr,0600000184,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3224, 43.4567, NULL), NULL, NULL)",6,53
185,Garcia,Nadine,nadine.garcia185@amu.fr,0600000185,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3119, 43.289, NULL), NULL, NULL)",3,35
186,Lemaire,Thomas,thomas.lemaire186@amu.fr,0600000186,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.754, 43.4007, NULL), NULL, NULL)",4,1
187,Muller,Sylvain,sylvain.muller187@amu.fr,0600000187,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1645, 43.5246, NULL), NULL, NULL)",1,74
188,Vidal,Alice,alice.vidal188@amu.fr,0600000188,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6221, 43.0709, NULL), NULL, NULL)",4,29
189,Lucas,Cecile,cecile.lucas189@amu.fr,0600000189,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9043, 43.962, NULL), NULL, NULL)",3,45
190,Dubois,Sarah,sarah.dubois190@amu.fr,0600000190,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2579, 43.3874, NULL), NULL, NULL)",6,38
191,Marchand,Mathias,mathias.marchand191@amu.fr,0600000191,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0143, 43.9916, NULL), NULL, NULL)",5,43
192,Francois,Mathis,mathis.francois192@amu.fr,0600000192,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9489, 43.183, NULL), NULL, NULL)",2,3
193,Lafayette,Therese,therese.lafayett193@amu.fr,0600000193,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7809, 43.2455, NULL), NULL, NULL)",6,59
194,De Gaulle,Francoise,francois.degaull194@amu.fr,0600000194,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3964, 43.9282, NULL), NULL, NULL)",6,15
195,Roy,Jacques,jacques.roy195@amu.fr,0600000195,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4051, 43.9709, NULL), NULL, NULL)",3,50
196,Blanc,Roland,roland.blanc196@amu.fr,0600000196,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0035, 43.1558, NULL), NULL, NULL)",1,6
197,Poirier,Jacques,jacques.poirier197@amu.fr,0600000197,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5922, 43.3624, NULL), NULL, NULL)",2,40
198,Mercier,Ambrine,ambrine.mercier198@amu.fr,0600000198,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8835, 43.9699, NULL), NULL, NULL)",1,55
199,Thomas,Bruno,bruno.thomas199@amu.fr,0600000199,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.537, 43.4319, NULL), NULL, NULL)",1,65
200,Bonnet,Gilles,gilles.bonnet200@amu.fr,0600000200,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.342, 43.5435, NULL), NULL, NULL)",5,55
201,Fabre,Sarah,sarah.fabre201@amu.fr,0600000201,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0057, 43.0542, NULL), NULL, NULL)",4,16
202,Meunier,Carole,carole.meunier202@amu.fr,0600000202,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3096, 43.5086, NULL), NULL, NULL)",5,6
203,Garnier,Lisa,lisa.garnier203@amu.fr,0600000203,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7377, 43.9531, NULL), NULL, NULL)",3,51
204,Clement,Leo,leo.clement204@amu.fr,0600000204,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7056, 43.4648, NULL), NULL, NULL)",6,29
205,Hitier,Isabelle,isabelle.hitier205@amu.fr,0600000205,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9842, 43.5754, NULL), NULL, NULL)",1,37
206,Caron,Pauline,pauline.caron206@amu.fr,0600000206,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4893, 43.0682, NULL), NULL, NULL)",1,76
207,Robin,Suzanne,suzanne.robin207@amu.fr,0600000207,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1427, 43.2068, NULL), NULL, NULL)",1,47
208,Fontaine,Evelyne,evelyne.fontaine208@amu.fr,0600000208,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7786, 43.2262, NULL), NULL, NULL)",1,8
209,Higueurs,Mickael,mickael.higueurs209@amu.fr,0600000209,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.143, 43.307, NULL), NULL, NULL)",2,6
210,Lefevre,Serge,serge.lefevre210@amu.fr,0600000210,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8049, 43.7503, NULL), NULL, NULL)",1,64
211,Morancey,Jules,jules.morancey211@amu.fr,0600000211,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4913, 43.894, NULL), NULL, NULL)",4,72
212,Garnier,Brigitte,brigitte.garnier212@amu.fr,0600000212,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8216, 43.4615, NULL), NULL, NULL)",2,31
213,De Gaulle,Mila,mila.degaull213@amu.fr,0600000213,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7744, 43.5584, NULL), NULL, NULL)",2,36
214,Girard,Marion,marion.girard214@amu.fr,0600000214,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.345, 43.6919, NULL), NULL, NULL)",1,61
215,Lafayette,Albert,albert.lafayett215@amu.fr,0600000215,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5892, 43.2876, NULL), NULL, NULL)",1,56
216,Dumont,Hugo,hugo.dumont216@amu.fr,0600000216,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1256, 43.4515, NULL), NULL, NULL)",3,3
217,Fournier,Chantal,chantal.fournier217@amu.fr,0600000217,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3332, 43.8664, NULL), NULL, NULL)",4,38
218,Albertos,Ambrine,ambrine.albertos218@amu.fr,0600000218,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4726, 43.3091, NULL), NULL, NULL)",2,44
219,Patateur,Maxime,maxime.patateur219@amu.fr,0600000219,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6445, 43.5682, NULL), NULL, NULL)",4,12
220,Navarro,Christian,christia.navarro220@amu.fr,0600000220,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4633, 43.2863, NULL), NULL, NULL)",2,42
221,Roux,Paul,paul.roux221@amu.fr,0600000221,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7564, 43.6195, NULL), NULL, NULL)",6,69
222,Picard,Patrick,patrick.picard222@amu.fr,0600000222,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.616, 43.3891, NULL), NULL, NULL)",3,41
223,De Gaulle,Pascal,pascal.degaull223@amu.fr,0600000223,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9748, 43.0998, NULL), NULL, NULL)",6,52
224,Nedjar,Sylvain,sylvain.nedjar224@amu.fr,0600000224,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3355, 43.6007, NULL), NULL, NULL)",3,77
225,Fernandez,Marcelle,marcelle.fernande225@amu.fr,0600000225,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1368, 43.3587, NULL), NULL, NULL)",4,23
226,Agostinelli,Enzo,enzo.agostine226@amu.fr,0600000226,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9423, 43.7558, NULL), NULL, NULL)",3,29
227,Machiavel,Elodie,elodie.machiave227@amu.fr,0600000227,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9839, 43.3681, NULL), NULL, NULL)",1,64
228,Patateur,Gilles,gilles.patateur228@amu.fr,0600000228,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2464, 43.8266, NULL), NULL, NULL)",6,71
229,Boule,Emilie,emilie.boule229@amu.fr,0600000229,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3527, 43.662, NULL), NULL, NULL)",4,64
230,Garcia,Monique,monique.garcia230@amu.fr,0600000230,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0807, 43.6555, NULL), NULL, NULL)",6,28
231,Meunier,Olivier,olivier.meunier231@amu.fr,0600000231,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8525, 43.9732, NULL), NULL, NULL)",6,10
232,Durand,Louis,louis.durand232@amu.fr,0600000232,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5406, 43.4985, NULL), NULL, NULL)",3,50
233,Leclerc,Francoise,francois.leclerc233@amu.fr,0600000233,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9234, 43.6922, NULL), NULL, NULL)",1,43
234,Fernandez,Therese,therese.fernande234@amu.fr,0600000234,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4658, 43.206, NULL), NULL, NULL)",5,26
235,Mouse,Suzanne,suzanne.mouse235@amu.fr,0600000235,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9002, 43.4394, NULL), NULL, NULL)",1,59
236,Renaud,Arthur,arthur.renaud236@amu.fr,0600000236,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.287, 43.0619, NULL), NULL, NULL)",3,43
237,Lemaire,Christiane,christia.lemaire237@amu.fr,0600000237,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3353, 43.4143, NULL), NULL, NULL)",1,27
238,Vidal,Herve,herve.vidal238@amu.fr,0600000238,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6667, 43.8062, NULL), NULL, NULL)",3,28
239,Martel,Nicole,nicole.martel239@amu.fr,0600000239,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6916, 43.4565, NULL), NULL, NULL)",5,67
240,Nedjar,Delphine,delphine.nedjar240@amu.fr,0600000240,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5749, 43.4061, NULL), NULL, NULL)",4,48
241,Lefevre,Nate,nate.lefevre241@amu.fr,0600000241,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1748, 43.946, NULL), NULL, NULL)",5,3
242,Gomez,Bernard,bernard.gomez242@amu.fr,0600000242,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3699, 43.1228, NULL), NULL, NULL)",4,25
243,Robin,Raphael,raphael.robin243@amu.fr,0600000243,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3118, 43.3563, NULL), NULL, NULL)",5,19
244,Fabre,Benoit,benoit.fabre244@amu.fr,0600000244,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.999, 43.9907, NULL), NULL, NULL)",1,40
245,Robin,Paul,paul.robin245@amu.fr,0600000245,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4249, 43.5776, NULL), NULL, NULL)",3,26
246,Morin,Gerard,gerard.morin246@amu.fr,0600000246,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2573, 43.6582, NULL), NULL, NULL)",5,60
247,Gingras,Brigitte,brigitte.gingras247@amu.fr,0600000247,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.326, 43.0961, NULL), NULL, NULL)",5,71
248,Berger,Ines,ines.berger248@amu.fr,0600000248,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1422, 43.8367, NULL), NULL, NULL)",2,43
249,Garcia,Marguerite,margueri.garcia249@amu.fr,0600000249,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9109, 43.7084, NULL), NULL, NULL)",3,50
250,Roux,Claire,claire.roux250@amu.fr,0600000250,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4191, 43.1347, NULL), NULL, NULL)",3,11
251,Poirier,Younes,younes.poirier251@amu.fr,0600000251,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2884, 43.2093, NULL), NULL, NULL)",6,76
252,Poirier,Donald,donald.poirier252@amu.fr,0600000252,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.65, 43.9296, NULL), NULL, NULL)",5,17
253,Richard,Daniel,daniel.richard253@amu.fr,0600000253,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8374, 43.6824, NULL), NULL, NULL)",1,55
254,Marchand,Robert,robert.marchand254@amu.fr,0600000254,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7779, 43.7434, NULL), NULL, NULL)",4,16
255,Dumas,Christian,christia.dumas255@amu.fr,0600000255,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6081, 43.7414, NULL), NULL, NULL)",1,9
256,Martin,Albert,albert.martin256@amu.fr,0600000256,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.408, 43.2698, NULL), NULL, NULL)",1,30
257,Dubois,Morgan,morgan.dubois257@amu.fr,0600000257,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5836, 43.692, NULL), NULL, NULL)",2,11
258,Blanc,Daniel,daniel.blanc258@amu.fr,0600000258,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3588, 43.3021, NULL), NULL, NULL)",2,76
259,Morin,Jacqueline,jacqueli.morin259@amu.fr,0600000259,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5307, 43.6272, NULL), NULL, NULL)",4,41
260,Gagnon,Laura,laura.gagnon260@amu.fr,0600000260,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2365, 43.9621, NULL), NULL, NULL)",2,9
261,Gauthier,Maeva,maeva.gauthier261@amu.fr,0600000261,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2628, 43.8619, NULL), NULL, NULL)",5,68
262,Dumas,Antoine,antoine.dumas262@amu.fr,0600000262,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9882, 43.5672, NULL), NULL, NULL)",1,70
263,Nevot,David,david.nevot263@amu.fr,0600000263,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5333, 43.7409, NULL), NULL, NULL)",4,40
264,Roy,Eric,eric.roy264@amu.fr,0600000264,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.035, 43.2716, NULL), NULL, NULL)",1,28
265,Poirier,Marion,marion.poirier265@amu.fr,0600000265,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6255, 43.9732, NULL), NULL, NULL)",5,64
266,Fabre,Mael,mael.fabre266@amu.fr,0600000266,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0738, 43.4626, NULL), NULL, NULL)",3,43
267,Machiavel,Alain,alain.machiave267@amu.fr,0600000267,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.904, 43.601, NULL), NULL, NULL)",5,41
